Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Edge.density,Prop.forestwetland,Longitude,Latitude
2005,Ames,199.832530941401,227.797052539214,255.761574137028,168.220743016459,217.597103058575,239.185156730433,216.701780216562,237.767171500231,289.12538845579,273,196,273,77,55.929043195627,0.0196403465648329,228,10,0.07,Ames_2005,-0.586677256800141,-0.358053625958699,0.574747712689813,0.864291128026803,0.828939076232053,127.387391516929,0.0258040860288978,-93.78,42.02
2006,Ames,235.727279624357,260.859853530278,285.9924274362,205.726723449775,248.705654007624,267.703258474767,253.501121389553,272.773612375768,315.804122792089,NA,209,293,84,50.2651478118424,0.0218534280554303,60,9,0.08,Ames_2006,-1.12584339417184,-0.383229316144288,0.619750697790232,0.310525132950685,0.874580871786683,69.0306061349134,0.00918090372026185,-93.78,42.02
2007,Ames,205.002194211634,212.344938586313,219.687682960992,204.518363935217,212.178822187689,219.252421848924,205.443534305281,212.511752157429,220.180479387692,NA,187,271,84,14.6854887493579,0.0747994030126975,1429,10,0.29,Ames_2007,0.421243480858409,-0.316471501586617,0.265184429178778,0.793195376136905,0.818577359093087,69.173172442503,0.0089813188567779,-93.78,42.02
2008,Ames,215.752169229567,227.800281347583,239.8483934656,205.341647118414,225.586385660024,235.412908361542,220.274966256973,230.067800868284,250.671914917291,270,207,298,91,24.096224236033,0.0455866355094323,3819,14,0.18,Ames_2008,0.265147990954143,1.38591423697883,-0.492463875924043,-1.33595208206701,0.831288027224915,93.440594059406,0.00627914704433215,-93.78,42.02
2009,Ames,256.129921718363,262.402134389718,268.674347061072,253.647745693435,261.77415705656,267.223442749333,257.558752996511,263.01271962488,271.048188414242,254,205,289,84,12.5444253427089,0.0875660511655315,3882,12,0.35,Ames_2009,0.867355565813627,-0.903330943749864,-0.333227139315839,-1.76858994921392,0.818809941218933,91.6681945972375,0.00659997937506445,-93.78,42.02
2010,Ames,206.326094252689,243.987094886348,281.648095520007,162.676788095625,233.591388463772,262.66782116341,225.483472218817,254.350580937424,323.695083323108,281,197,281,84,75.3220012673173,0.0145835980579327,14,8,0.05,Ames_2010,1.75212787964395,1.7109358941387,-0.63950373151571,1.15922893110658,0.833064063341468,91.9279427942794,0.00656560448248599,-93.78,42.02
2011,Ames,216.159971657277,236.999121338486,257.838271019695,208.085288667658,234.911543759671,253.118667524771,220.87268940655,239.105603764605,265.887397881692,259,210,287,77,41.6782993624181,0.0263558208517534,142,12,0.1,Ames_2011,-1.33063530660707,-0.811109875228654,-0.322010333309651,-0.709024314808043,0.838770295509493,87.5351424031292,0.00704685297858444,-93.78,42.02
2012,Ames,206.532721015965,228.080795160202,249.628869304439,183.193104718987,222.894872341919,239.793659363999,216.475094903004,233.406188264683,271.82994228132,NA,209,258,49,43.096148288474,0.0254887231232089,13,5,0.1,Ames_2012,0.0969836958476846,-1.50701945618212,1.70702890987441,1.76742832463562,0.822499513022355,90.7170578168928,0.0109541324350028,-93.78,42.02
2013,Ames,240.238758040838,248.414005758876,256.589253476913,237.464163543102,247.679437768328,254.877356421095,241.900850039491,249.150461372404,259.298304771548,277,221,277,56,16.3504954360747,0.067182416318593,58,8,0.26,Ames_2013,-0.955710008358406,-0.769080530466634,0.0681814188954208,-0.694113362871894,0.833694269705408,94.6018212932404,0.00815830783862134,-93.78,42.02
2014,Ames,218.396204351251,225.81262437778,233.229044404308,216.500936925533,225.24738352279,231.899871647374,219.717876601235,226.375705858242,235.205844138668,269,206,283,77,14.8328400530567,0.0740563363100039,239,11,0.29,Ames_2014,-1.07717323920005,0.736068901066682,-1.13607440361137,-1.25075384424213,0.837246341938515,89.9492727050483,0.0080437248633598,-93.78,42.02
2015,Ames,218.047142214806,224.340987535584,230.634832856362,217.725345029424,224.230851881086,230.33971706529,218.337938686646,224.452902820882,230.960875262008,NA,205,240,35,12.5876906415552,0.0872650768660714,71,5,0.35,Ames_2015,-0.94087932903208,1.0129843003454,-0.321135884138827,-0.106438674818333,0.83964112612148,88.226530986432,0.00957913673186438,-93.78,42.02
2016,Ames,248.699581467047,249.410896818794,250.122212170542,248.699537890721,249.410881076435,250.122169452339,248.699625372963,249.41091221711,250.1222554733,NA,253,253,0,1.42263070349514,0.77213699149186,1,1,1,Ames_2016,1.61474565378347,0.527045169706335,1.11208486904457,0.664836691160345,0.839159877625383,87.9400440044004,0.00867393122729824,-93.78,42.02
2017,Ames,252.745145836121,257.880915809174,263.016685782227,251.39801240841,257.497005643759,262.101795129304,253.662764924012,258.272847496201,264.377560844719,258,258,286,28,10.2715399461057,0.106942658760518,32,5,0.42,Ames_2017,0.093683429012388,-1.17143675482394,1.26884907658413,0.319373050315748,0.840615081411205,86.6795012834617,0.00933851248381515,-93.78,42.02
2018,Ames,266.90315270955,267.603184650172,268.303216590794,266.903113004226,267.603170494652,268.303177450288,266.90319130874,267.60319845975,268.30325687696,NA,271,271,0,1.40006388124391,0.784582622346983,1,1,1,Ames_2018,0.978686858858303,1.080553754037,-0.0952616051378381,0.139275368133691,0.840752580981517,87.5848001466813,0.0104958005339567,-93.78,42.02
2006,Antigo,214.624514969861,247.818094989175,281.01167500849,184.467321575934,241.344879599319,268.160166025321,227.643766232749,254.257354986026,312.727083706846,NA,202,286,84,66.3871600386286,0.0165463591267115,99,11,0.06,Antigo_2006,0.867616150567851,-0.393172500228511,0.657381993363007,0.779035625323221,0.348333000598922,137.24581467644,0.406268716310641,-89.21,45.18
2007,Antigo,208.937282657644,217.362124450261,225.786966242879,207.597001775975,216.929886810657,224.738272750471,209.98659874948,217.792528699925,227.16450854143,NA,194,271,77,16.8496835852355,0.0651920723522816,206,9,0.26,Antigo_2007,-0.411264215729775,-1.46800795775332,0.456692777876282,1.15961293326722,0.374765422239968,139.577332230556,0.438770213615492,-89.21,45.18
2008,Antigo,223.39656107587,235.253670404349,247.110779732828,217.376919340988,233.854908367667,244.040955465644,226.406287512733,236.64349517463,252.742780318279,NA,200,277,77,23.7142186569585,0.0463209776080622,646,12,0.18,Antigo_2008,-0.345632178054301,-0.975347060401778,-0.169731174369012,-0.463558614201732,0.522598093142648,186.927954771182,0.404049779977998,-89.21,45.18
2009,Antigo,217.360592578685,245.444840350404,273.529088122123,187.260775989453,237.910314831354,259.742962262804,231.192815779168,253.035638649597,305.411054564024,275,219,282,63,56.1684955434376,0.0195566176514756,545,10,0.07,Antigo_2009,-0.990687348435464,-1.03873095328608,-0.486857365428791,-1.00418047898893,0.510496883021636,212.949805179922,0.392544462779611,-89.21,45.18
