Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Prop.forestwetland,Edge.density,Longitude,Latitude
2005,Ames,230.698338539461,244.734250188295,258.770161837128,222.739248365561,242.9779935748,254.877882183308,234.470890445605,246.481421729556,266.796222658777,NA,189,301,112,28.0718232976664,0.0391305466607487,722,16,0.15,Ames_2005,-0.586677256800141,-0.358053625958699,0.574747712689813,0.864291128026803,0.828939076232053,0.0258040860288978,127.387391516929,-93.78,42.02
2006,Ames,230.916065178337,249.921350386265,268.926635594193,222.315741263981,247.809972822495,264.317460994354,235.566678241344,252.028946198227,277.592137174403,NA,188,293,105,38.0105704158563,0.0288989557216273,315,16,0.11,Ames_2006,-1.12584339417184,-0.383229316144288,0.619750697790232,0.310525132950685,0.874580871786683,0.00918090372026185,69.0306061349134,-93.78,42.02
2007,Ames,197.994990948639,226.02581661439,254.056642280141,168.485103941538,218.816902624935,240.678757477093,211.413270564325,233.221566062358,284.82906972925,NA,194,285,91,56.0616513315019,0.0195938893220651,429,13,0.07,Ames_2007,0.421243480858409,-0.316471501586617,0.265184429178778,0.793195376136905,0.818577359093087,0.0089813188567779,69.173172442503,-93.78,42.02
2008,Ames,214.255554780881,237.974219005777,261.692883230673,193.724068569649,233.741405339544,253.195659337153,222.897752787057,242.142160546329,282.322526977061,NA,214,298,84,47.4373284497926,0.0231561478544111,598,13,0.09,Ames_2008,0.265147990954143,1.38591423697883,-0.492463875924043,-1.33595208206701,0.831288027224915,0.00627914704433215,93.440594059406,-93.78,42.02
2009,Ames,238.137296823076,251.404917528066,264.672538233056,231.317917962094,249.737037240256,261.133599514527,241.725584648361,253.035756061972,271.653241524435,NA,205,275,70,26.5352414099804,0.0413964875777819,130,10,0.16,Ames_2009,0.867355565813627,-0.903330943749864,-0.333227139315839,-1.76858994921392,0.818809941218933,0.00659997937506445,91.6681945972375,-93.78,42.02
2010,Ames,228.737419449645,249.083527894684,269.429636339724,222.137114884784,247.342216485162,265.357745584721,232.879048617155,250.818291633096,275.80594594468,NA,204,302,98,40.6922168900789,0.0269944936735416,49,11,0.1,Ames_2010,1.75212787964395,1.7109358941387,-0.63950373151571,1.15922893110658,0.833064063341468,0.00656560448248599,91.9279427942794,-93.78,42.02
2011,Ames,232.754133278318,245.583354901077,258.412576523836,229.348094344463,244.58370439985,256.060255044343,235.113709144123,246.611714217078,261.925344458455,NA,231,280,49,25.6584432455184,0.0428110848694399,156,8,0.17,Ames_2011,-1.33063530660707,-0.811109875228654,-0.322010333309651,-0.709024314808043,0.838770295509493,0.00704685297858444,87.5351424031292,-93.78,42.02
2012,Ames,226.618675133414,234.991866679478,243.365058225542,223.810556786538,234.239477477056,241.632597974258,228.371999500163,235.750747899315,246.245910393891,NA,202,272,70,16.7463830921282,0.0655942113206466,796,11,0.26,Ames_2012,0.0969836958476846,-1.50701945618212,1.70702890987441,1.76742832463562,0.822499513022355,0.0109541324350028,90.7170578168928,-93.78,42.02
2013,Ames,227.108022817075,239.899714044339,252.691405271604,216.21716860927,237.593434574306,247.851126314803,231.767026709088,242.214888338407,263.6314218095,NA,235,284,49,25.5833824545289,0.0429366911648218,9,5,0.17,Ames_2013,-0.955710008358406,-0.769080530466634,0.0681814188954208,-0.694113362871894,0.833694269705408,0.00815830783862134,94.6018212932404,-93.78,42.02
2014,Ames,214.001990813095,223.499997739192,232.998004665289,208.573698095109,222.254079797656,230.314761441112,216.722657614803,224.764393287962,238.503881048849,NA,220,234,14,18.9960138521945,0.0578261207824264,5,3,0.23,Ames_2014,-1.07717323920005,0.736068901066682,-1.13607440361137,-1.25075384424213,0.837246341938515,0.0080437248633598,89.9492727050483,-93.78,42.02
