Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Prop.forestwetland,Edge.density,Longitude,Latitude
2005,Ames,219.853008466525,241.181658193898,262.510307921272,208.143387945211,238.543034152722,256.754718458331,225.742804753495,243.872570371425,274.570381462471,-999,203,308,105,42.6572994547466,0.0257509454523,339,14,0.1,Ames_2005,-0.586677256800141,-0.358053625958699,0.574747712689813,0.864291128026803,0.828939076232053,0.0258040860288978,127.387391516929,-93.78,42.02
2006,Ames,238.630622869033,258.659682781024,278.688742693014,216.596981975324,253.113628282954,268.956423844195,248.631775502243,264.197187464671,300.452964534199,NA,160,293,133,40.0581198239811,0.0274218010288152,388,18,0.1,Ames_2006,-1.12584339417184,-0.383229316144288,0.619750697790232,0.310525132950685,0.874580871786683,0.00918090372026185,69.0306061349134,-93.78,42.02
2007,Ames,201.477713303166,228.048827237771,254.619941172376,185.571320603852,224.503644741488,247.053863581847,209.055339697981,231.585460688371,271.16953572773,NA,138,299,161,53.1422278692107,0.0206702999750985,400,23,0.08,Ames_2007,0.421243480858409,-0.316471501586617,0.265184429178778,0.793195376136905,0.818577359093087,0.0089813188567779,69.173172442503,-93.78,42.02
2008,Ames,210.755782079966,237.113230300038,263.470678520109,199.342552200319,234.331984837982,257.014730566995,217.058377678942,239.982252027725,274.729966717953,NA,158,312,154,52.7148964401431,0.020837863025092,666,21,0.08,Ames_2008,0.265147990954143,1.38591423697883,-0.492463875924043,-1.33595208206701,0.831288027224915,0.00627914704433215,93.440594059406,-93.78,42.02
2009,Ames,228.02135324384,248.486971595996,268.952589948152,214.602101468719,245.385458445697,262.52912353575,234.498278720274,251.587156638704,283.247833244898,NA,142,289,147,40.9312367043127,0.0268368581026989,1071,18,0.1,Ames_2009,0.867355565813627,-0.903330943749864,-0.333227139315839,-1.76858994921392,0.818809941218933,0.00659997937506445,91.6681945972375,-93.78,42.02
2010,Ames,200.57647979295,233.52975124126,266.483022689569,171.083960072852,227.591934264824,254.327219886497,212.637643131161,239.640731020171,294.591077971799,NA,134,302,168,65.9065428966188,0.0166670218634389,417,24,0.06,Ames_2010,1.75212787964395,1.7109358941387,-0.63950373151571,1.15922893110658,0.833064063341468,0.00656560448248599,91.9279427942794,-93.78,42.02
2011,Ames,220.323631683732,231.620686318902,242.917740954073,214.183353768089,230.168299482915,239.82427890415,223.464438917394,233.095807580077,249.072336446203,NA,112,294,182,22.5941092703413,0.0486173532339041,1636,24,0.19,Ames_2011,-1.33063530660707,-0.811109875228654,-0.322010333309651,-0.709024314808043,0.838770295509493,0.00704685297858444,87.5351424031292,-93.78,42.02
2012,Ames,226.877641802368,233.757400478518,240.637159154667,218.554371622147,231.067185327792,236.306104751729,231.257038918967,236.422782325124,248.617647274279,NA,139,272,133,13.7595173522987,0.079833162986499,428,12,0.31,Ames_2012,0.0969836958476846,-1.50701945618212,1.70702890987441,1.76742832463562,0.822499513022355,0.0109541324350028,90.7170578168928,-93.78,42.02
2013,Ames,230.463612425724,247.413229824723,264.362847223721,210.938913990131,239.994870565938,252.905110337101,242.169794644609,254.679334141629,283.870141214136,NA,137,291,154,33.8992347979964,0.0324038521207741,170,19,0.12,Ames_2013,-0.955710008358406,-0.769080530466634,0.0681814188954208,-0.694113362871894,0.833694269705408,0.00815830783862134,94.6018212932404,-93.78,42.02
2014,Ames,204.879940891344,227.884032775052,250.888124658759,183.52882505368,223.464488326186,242.169056823205,213.772323336555,232.310846586526,271.980802076663,NA,143,283,140,46.0081837674147,0.0238754434853306,251,17,0.09,Ames_2014,-1.07717323920005,0.736068901066682,-1.13607440361137,-1.25075384424213,0.837246341938515,0.0080437248633598,89.9492727050483,-93.78,42.02
2015,Ames,210.123876278403,222.322162320016,234.52044836163,196.9130898477,219.113265503752,228.671945692761,215.902529981172,225.500673970203,247.786422290831,NA,142,296,154,24.396572083227,0.0450254153597596,114,14,0.18,Ames_2015,-0.94087932903208,1.0129843003454,-0.321135884138827,-0.106438674818333,0.83964112612148,0.00957913673186438,88.226530986432,-93.78,42.02
2016,Ames,81.8250766521463,173.623307909898,265.421539167649,-27.5642067790942,123.795870333028,194.950631786983,151.316919155578,221.580802452828,376.419141533049,NA,134,267,133,183.596462515503,0.00598304442444731,75,8,0.02,Ames_2016,1.61474565378347,0.527045169706335,1.11208486904457,0.664836691160345,0.839159877625383,0.00867393122729824,87.9400440044004,-93.78,42.02
2017,Ames,244.691333769561,249.940925455999,255.190517142437,240.857624247721,249.123699818163,253.435076307296,246.418829389242,250.774457384756,259.161848261087,NA,139,286,147,10.4991833728763,0.10462392667981,90,8,0.41,Ames_2017,0.093683429012388,-1.17143675482394,1.26884907658413,0.319373050315748,0.840615081411205,0.00933851248381515,86.6795012834617,-93.78,42.02
